#
# wood
#

Acacia Door                              :ACACIA_DOOR
Acacia Fence                             :ACACIA_FENCE
Acacia Fence Gate                        :ACACIA_FENCE_GATE
Acacia Leaves                            :ACACIA_LEAVES
Acacia Log                               :ACACIA_LOG
Stripped Acacia Log                      :STRIPPED_ACACIA_LOG
Acacia Planks                            :ACACIA_PLANKS
Acacia Sapling                           :ACACIA_SAPLING
Acacia Sign                              :ACACIA_SIGN
Acacia Sign                              :ACACIA_WALL_SIGN
Acacia Hanging Sign                      :ACACIA_HANGING_SIGN
Acacia Hanging Sign                      :ACACIA_WALL_HANGING_SIGN
Acacia Slab                              :ACACIA_SLAB
Acacia Stairs                            :ACACIA_STAIRS
Acacia Trapdoor                          :ACACIA_TRAPDOOR
Acacia Wood                              :ACACIA_WOOD
Stripped Acacia Wood                     :STRIPPED_ACACIA_WOOD
Acacia Boat                              :ACACIA_BOAT
Acacia Boat With Chest                   :ACACIA_CHEST_BOAT

Azalea                                   :AZALEA
Flowering Azalea                         :FLOWERING_AZALEA
Azalea Leaves                            :AZALEA_LEAVES
Flowering Azalea Leaves                  :FLOWERING_AZALEA_LEAVES

Bamboo                                   :BAMBOO
Bamboo Sapling                           :BAMBOO_SAPLING
Bamboo Button                            :BAMBOO_BUTTON
Bamboo Door                              :BAMBOO_DOOR
Bamboo Fence                             :BAMBOO_FENCE
Bamboo Fence Gate                        :BAMBOO_FENCE_GATE
Bamboo Hanging Sign                      :BAMBOO_HANGING_SIGN
Bamboo Hanging Sign                      :BAMBOO_WALL_HANGING_SIGN
Bamboo Mosaic                            :BAMBOO_MOSAIC
Bamboo Mosaic Slab                       :BAMBOO_MOSAIC_SLAB
Bamboo Mosaic Stairs                     :BAMBOO_MOSAIC_STAIRS
Bamboo Planks                            :BAMBOO_PLANKS
Bamboo Pressure Plate                    :BAMBOO_PRESSURE_PLATE
Bamboo Sign                              :BAMBOO_SIGN
Bamboo Sign                              :BAMBOO_WALL_SIGN
Bamboo Slab                              :BAMBOO_SLAB
Bamboo Stairs                            :BAMBOO_STAIRS
Bamboo Trapdoor                          :BAMBOO_TRAPDOOR
Block Of Bamboo                          :BAMBOO_BLOCK
Block Of Stripped Bamboo                 :STRIPPED_BAMBOO_BLOCK
Bamboo Raft                              :BAMBOO_RAFT
Bamboo Raft With Chest                   :BAMBOO_CHEST_RAFT

Birch Door                               :BIRCH_DOOR
Birch Fence                              :BIRCH_FENCE
Birch Fence Gate                         :BIRCH_FENCE_GATE
Birch Leaves                             :BIRCH_LEAVES
Birch Log                                :BIRCH_LOG
Stripped Birch Log                       :STRIPPED_BIRCH_LOG
Birch Planks                             :BIRCH_PLANKS
Birch Sapling                            :BIRCH_SAPLING
Birch Sign                               :BIRCH_SIGN
Birch Sign                               :BIRCH_WALL_SIGN
Birch Hanging Sign                       :BIRCH_HANGING_SIGN
Birch Hanging Sign                       :BIRCH_WALL_HANGING_SIGN
Birch Slab                               :BIRCH_SLAB
Birch Stairs                             :BIRCH_STAIRS
Birch Trapdoor                           :BIRCH_TRAPDOOR
Birch Wood                               :BIRCH_WOOD
Stripped Birch Wood                      :STRIPPED_BIRCH_WOOD
Birch Boat                               :BIRCH_BOAT
Birch Boat With Chest                    :BIRCH_CHEST_BOAT

Cherry Button                            :CHERRY_BUTTON
Cherry Door                              :CHERRY_DOOR
Cherry Fence                             :CHERRY_FENCE
Cherry Fence Gate                        :CHERRY_FENCE_GATE
Cherry Hanging Sign                      :CHERRY_HANGING_SIGN
Cherry Hanging Sign                      :CHERRY_WALL_HANGING_SIGN
Cherry Leaves                            :CHERRY_LEAVES
Cherry Log                               :CHERRY_LOG
Stripped Cherry Log                      :STRIPPED_CHERRY_LOG
Cherry Planks                            :CHERRY_PLANKS
Cherry Pressure Plate                    :CHERRY_PRESSURE_PLATE
Cherry Sapling                           :CHERRY_SAPLING
Cherry Sign                              :CHERRY_SIGN
Cherry Sign                              :CHERRY_WALL_SIGN
Cherry Slab                              :CHERRY_SLAB
Cherry Stairs                            :CHERRY_STAIRS
Cherry Trapdoor                          :CHERRY_TRAPDOOR
Cherry Wood                              :CHERRY_WOOD
Stripped Cherry Wood                     :STRIPPED_CHERRY_WOOD
Cherry Boat                              :CHERRY_BOAT
Cherry Boat With Chest                   :CHERRY_CHEST_BOAT

Crimson Door                             :CRIMSON_DOOR
Crimson Fence                            :CRIMSON_FENCE
Crimson Fence Gate                       :CRIMSON_FENCE_GATE
Crimson Fungus                           :CRIMSON_FUNGUS
Crimson Hyphae                           :CRIMSON_HYPHAE
Stripped Crimson Hyphae                  :STRIPPED_CRIMSON_HYPHAE
Crimson Nylium                           :CRIMSON_NYLIUM
Crimson Planks                           :CRIMSON_PLANKS
Crimson Roots                            :CRIMSON_ROOTS
Crimson Sign                             :CRIMSON_SIGN
Crimson Sign                             :CRIMSON_WALL_SIGN
Crimson Hanging Sign                     :CRIMSON_HANGING_SIGN
Crimson Hanging Sign                     :CRIMSON_WALL_HANGING_SIGN
Crimson Slab                             :CRIMSON_SLAB
Crimson Stairs                           :CRIMSON_STAIRS
Crimson Stem                             :CRIMSON_STEM
Stripped Crimson Stem                    :STRIPPED_CRIMSON_STEM
Crimson Trapdoor                         :CRIMSON_TRAPDOOR

Dark Oak Door                            :DARK_OAK_DOOR
Dark Oak Fence                           :DARK_OAK_FENCE
Dark Oak Fence Gate                      :DARK_OAK_FENCE_GATE
Dark Oak Leaves                          :DARK_OAK_LEAVES
Dark Oak Log                             :DARK_OAK_LOG
Stripped Dark Oak Log                    :STRIPPED_DARK_OAK_LOG
Dark Oak Planks                          :DARK_OAK_PLANKS
Dark Oak Sapling                         :DARK_OAK_SAPLING
Dark Oak Sign                            :DARK_OAK_SIGN
Dark Oak Sign                            :DARK_OAK_WALL_SIGN
Dark Oak Hanging Sign                    :DARK_OAK_HANGING_SIGN
Dark Oak Hanging Sign                    :DARK_OAK_WALL_HANGING_SIGN
Dark Oak Slab                            :DARK_OAK_SLAB
Petrified Oak Slab                       :PETRIFIED_OAK_SLAB
Dark Oak Stairs                          :DARK_OAK_STAIRS
Dark Oak Trapdoor                        :DARK_OAK_TRAPDOOR
Dark Oak Wood                            :DARK_OAK_WOOD
Stripped Dark Oak Wood                   :STRIPPED_DARK_OAK_WOOD
Dark Oak Boat                            :DARK_OAK_BOAT
Dark Oak Boat With Chest                 :DARK_OAK_CHEST_BOAT

Jungle Door                              :JUNGLE_DOOR
Jungle Fence                             :JUNGLE_FENCE
Jungle Fence Gate                        :JUNGLE_FENCE_GATE
Jungle Leaves                            :JUNGLE_LEAVES
Jungle Log                               :JUNGLE_LOG
Stripped Jungle Log                      :STRIPPED_JUNGLE_LOG
Jungle Planks                            :JUNGLE_PLANKS
Jungle Sapling                           :JUNGLE_SAPLING
Jungle Sign                              :JUNGLE_SIGN
Jungle Sign                              :JUNGLE_WALL_SIGN
Jungle Hanging Sign                      :JUNGLE_HANGING_SIGN
Jungle Hanging Sign                      :JUNGLE_WALL_HANGING_SIGN
Jungle Slab                              :JUNGLE_SLAB
Jungle Stairs                            :JUNGLE_STAIRS
Jungle Trapdoor                          :JUNGLE_TRAPDOOR
Jungle Wood                              :JUNGLE_WOOD
Stripped Jungle Wood                     :STRIPPED_JUNGLE_WOOD
Jungle Boat                              :JUNGLE_BOAT
Jungle Boat With Chest                   :JUNGLE_CHEST_BOAT

Mangrove Door                            :MANGROVE_DOOR
Mangrove Fence                           :MANGROVE_FENCE
Mangrove Fence Gate                      :MANGROVE_FENCE_GATE
Mangrove Leaves                          :MANGROVE_LEAVES
Mangrove Log                             :MANGROVE_LOG
Stripped Mangrove Log                    :STRIPPED_MANGROVE_LOG
Mangrove Planks                          :MANGROVE_PLANKS
Mangrove Propagule                       :MANGROVE_PROPAGULE
Mangrove Roots                           :MANGROVE_ROOTS
Muddy Mangrove Roots                     :MUDDY_MANGROVE_ROOTS
Mangrove Sign                            :MANGROVE_SIGN
Mangrove Sign                            :MANGROVE_WALL_SIGN
Mangrove Hanging Sign                    :MANGROVE_HANGING_SIGN
Mangrove Hanging Sign                    :MANGROVE_WALL_HANGING_SIGN
Mangrove Slab                            :MANGROVE_SLAB
Mangrove Stairs                          :MANGROVE_STAIRS
Mangrove Trapdoor                        :MANGROVE_TRAPDOOR
Mangrove Wood                            :MANGROVE_WOOD
Stripped Mangrove Wood                   :STRIPPED_MANGROVE_WOOD
Mangrove Boat                            :MANGROVE_BOAT
Mangrove Boat With Chest                 :MANGROVE_CHEST_BOAT

Oak Door                                 :OAK_DOOR
Oak Fence                                :OAK_FENCE
Oak Fence Gate                           :OAK_FENCE_GATE
Oak Leaves                               :OAK_LEAVES
Oak Log                                  :OAK_LOG
Stripped Oak Log                         :STRIPPED_OAK_LOG
Oak Planks                               :OAK_PLANKS
Oak Sapling                              :OAK_SAPLING
Oak Sign                                 :OAK_SIGN
Oak Sign                                 :OAK_WALL_SIGN
Oak Hanging Sign                         :OAK_HANGING_SIGN
Oak Hanging Sign                         :OAK_WALL_HANGING_SIGN
Oak Slab                                 :OAK_SLAB
Oak Stairs                               :OAK_STAIRS
Oak Trapdoor                             :OAK_TRAPDOOR
Oak Wood                                 :OAK_WOOD
Stripped Oak Wood                        :STRIPPED_OAK_WOOD
